electrode,mean_rate_hz,F_preparatory,F_baseline,tuned_p05,preferred_direction_deg,modulation_depth
168,5.71,17.06,1.83,True,221.7,0.2708
236,8.07,9.09,2.62,True,225.4,0.7182
186,10.1,8.87,0.95,True,287.9,0.7151
251,11.38,6.35,1.39,True,318.5,0.7337
203,8.48,6.24,0.84,True,148.2,0.7934
154,4.93,5.62,0.92,True,0.3,0.7558
145,4.71,5.11,1.52,True,357.7,0.6728
197,6.36,4.54,1.86,True,208.3,0.7752
137,8.38,4.41,0.25,True,346.3,0.7026
243,3.35,4.38,1.13,True,128.1,0.318
244,15.11,4.05,3.48,True,0.7,0.5968
152,4.32,3.46,0.73,True,105.2,0.6717
232,10.78,3.43,2.93,True,223.1,0.1645
230,10.53,3.07,1.74,True,63.4,0.7776
233,10.12,3.07,0.15,True,58.2,0.7055
219,13.42,2.87,0.78,True,353.8,0.7047
180,4.69,2.84,1.4,True,161.6,0.2808
234,9.36,2.81,0.45,True,115.7,0.469
178,2.6,2.72,0.44,True,191.6,0.4683
211,9.22,2.72,0.99,True,338.2,0.7644
222,9.17,2.61,1.49,True,140.7,0.77
215,13.77,2.61,0.93,True,278.0,0.1839
223,13.46,2.6,0.99,True,185.1,0.4112
227,3.59,2.6,0.88,True,13.1,0.7765
231,28.3,2.58,0.61,True,21.3,0.7257
206,15.19,2.58,1.69,True,23.3,0.3233
241,12.54,2.49,0.93,True,138.6,0.7288
240,3.66,2.47,1.74,True,197.9,0.6476
196,8.58,2.45,0.9,True,108.3,0.5585
177,2.68,2.43,1.52,True,103.0,0.7208
253,7.39,2.25,0.45,True,340.2,0.6729
214,10.18,2.18,1.2,True,295.9,0.5795
252,9.92,2.18,2.19,True,130.4,0.3883
208,3.07,2.16,1.08,True,298.9,0.7086
198,5.23,2.02,0.38,False,247.5,0.7801
235,10.44,1.94,1.07,False,143.7,0.7087
224,12.72,1.91,1.76,False,113.6,0.81
169,2.55,1.89,1.49,False,326.9,0.5996
199,11.82,1.88,0.38,False,22.2,0.6755
229,5.44,1.8,0.89,False,302.9,0.793
249,8.65,1.62,2.51,False,249.7,0.582
226,7.47,1.55,0.84,False,310.0,0.4176
213,22.25,1.47,0.28,False,6.2,0.647
162,3.13,1.3,1.03,False,282.7,0.6136
190,5.78,1.28,0.39,False,242.1,0.4493
237,3.73,1.26,0.82,False,273.6,0.6283
209,6.97,1.21,1.08,False,262.0,0.2219
200,7.42,1.19,0.38,False,234.6,0.6699
239,5.5,1.07,0.4,False,32.1,0.5916
221,4.88,1.04,1.24,False,150.2,0.3363
205,2.44,1.01,0.5,False,4.0,0.2001
160,7.03,1.0,0.51,False,332.7,0.4974
207,8.72,0.98,2.26,False,2.5,0.7374
217,11.87,0.94,1.33,False,276.7,0.4942
194,5.77,0.91,0.6,False,45.2,0.5802
216,8.24,0.77,0.97,False,272.5,0.2506
146,2.81,0.6,1.2,False,265.3,0.4177
228,3.79,0.57,1.38,False,299.4,0.5854
202,6.03,0.55,1.45,False,314.5,0.701
210,8.33,0.52,0.44,False,260.2,0.12
191,14.46,0.13,1.66,False,196.0,0.1767
